選舉區,登記日期,姓名,推薦之政黨,備註
臺北市,2022-08-29,張家豪,台灣動物保護黨,
臺北市,2022-08-31,陳時中,民主進步黨,
臺北市,2022-08-31,黃珊珊,無,
臺北市,2022-08-31,蘇煥智,台灣維新,
臺北市,2022-08-31,童文薰,無,
臺北市,2022-08-31,鄭匡宇,無,
臺北市,2022-09-01,蔣萬安,中國國民黨,
臺北市,2022-09-01,施奉先,無,
臺北市,2022-09-02,黃聖峰,台澎黨,
臺北市,2022-09-02,唐新民,無,
臺北市,2022-09-02,王文娟,無,
臺北市,2022-09-02,謝立康,無,
新北市,2022-08-30,林佳龍,民主進步黨,
新北市,2022-09-01,侯友宜,中國國民黨,
桃園市,2022-08-29,鄭運鵬,民主進步黨,
桃園市,2022-08-31,賴香伶,台灣民眾黨,
桃園市,2022-09-01,張善政,中國國民黨,
桃園市,2022-09-01,鄭寶清,無,
臺中市,2022-08-29,蔡其昌,民主進步黨,
臺中市,2022-09-02,盧秀燕,中國國民黨,
臺中市,2022-09-02,陳美妃,無,
臺南市,2022-08-31,許忠信,無,
臺南市,2022-08-31,黃偉哲,民主進步黨,
臺南市,2022-09-01,謝龍介,中國國民黨,
臺南市,2022-09-02,吳炳輝,無,
臺南市,2022-09-02,林義豐,無,
高雄市,2022-08-29,鄭宇翔,無,
高雄市,2022-08-31,陳其邁,民主進步黨,
高雄市,2022-09-01,柯志恩,中國國民黨,
高雄市,2022-09-02,曾尹儷,無,
臺北市第1選舉區,2022-08-29,林志穎,無,
臺北市第1選舉區,2022-08-30,林延鳳,民主進步黨,
臺北市第1選舉區,2022-08-30,蘇府庭,無,
臺北市第1選舉區,2022-08-30,陳重文,中國國民黨,
臺北市第1選舉區,2022-08-30,陳慈慧,民主進步黨,
臺北市第1選舉區,2022-08-30,劉仕傑,時代力量,
臺北市第1選舉區,2022-08-31,張渝江,無,
臺北市第1選舉區,2022-08-31,張斯綱,中國國民黨,
臺北市第1選舉區,2022-08-31,陳賢蔚,民主進步黨,
臺北市第1選舉區,2022-08-31,陳思宇,台灣民眾黨,
臺北市第1選舉區,2022-08-31,汪志冰,中國國民黨,
臺北市第1選舉區,2022-08-31,鍾佩玲,民主進步黨,
臺北市第1選舉區,2022-08-31,林杏兒,中國國民黨,
臺北市第1選舉區,2022-08-31,王郁揚,金色力量黨,
臺北市第1選舉區,2022-08-31,林世宗,民主進步黨,
臺北市第1選舉區,2022-08-31,項豪,中國國家社會主義勞工黨,
臺北市第1選舉區,2022-08-31,侯漢廷,新黨,
臺北市第1選舉區,2022-09-01,黃瀞瑩,台灣民眾黨,
臺北市第1選舉區,2022-09-01,林瑞圖,無,
